1134379;http://kinozal.tv/details.php?id=1134379;Вальврэйв Освободитель;2013;Япония;102;8;7;8; HDTVRip (720p); 3.32 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, ~ 2400 Кбит/с, 1280x720;6.9;7.419;Ко Мацуо;Приключения, фантастика, меха
1138992;http://kinozal.tv/details.php?id=1138992;Баскетбол Куроко;2013;Япония;34;9;3;9; HDTVRip (720p); 2.91 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (ААС, 2 ch, 128 Кбит/с); MPEG-4 AVC, 1775 Кбит/с, 1280x720;0;0;Сюнсукэ Тада;Комедия, спорт, школа
1131225;http://kinozal.tv/details.php?id=1131225;Заморозка;2013;Япония;282;11;8;11; HDTVRip (720p); 4.43 ГБ; Русский, японский (AAC, 2 ch, 224 Кбит/с); MPEG-4 AVC, ~ 3000 Кбит/с, 1280x720;0;0;Такаси Ватанабэ;Приключения
1131017;http://kinozal.tv/details.php?id=1131017;Когда успокоится море (Безоблачное завтра);2013;Япония;41;7;5;7; HDTVRip (720p); 2.23 ГБ; Русский (AAC, 2 ch, 189 Кбит/с), японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, ~ 1500 Кбит/с, 1280x720;0;0;Тосия Синохара;Романтика
1131051;http://kinozal.tv/details.php?id=1131051;Заморозка;2013;Япония;193;11;11;11; HDTVRip (720p); 6.65 ГБ; Русский, японский (AAC, 2 ch, 189 Кбит/с); MPEG-4 AVC, ~ 1500 Кбит/с, 1280x720;0;0;Такаси Ватанабэ;Приключения
1132644;http://kinozal.tv/details.php?id=1132644;Мелодия морской стали;2013;Япония;239;6;3;6; HDTVRip (720p); 2.35 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, 2122 Кбит/с, 1280x720;0;0;Сэйдзи Киси;Приключения, фантастика
1131725;http://kinozal.tv/details.php?id=1131725;Маги: Королевство Магии;2013;Япония;70;6;2;6; HDTVRip (720p); 2.14 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, 2200 Кбит/с, 1280x720;0;0;Кодзи Масунари;Приключения, комедия, фэнтези
1132554;http://kinozal.tv/details.php?id=1132554;Несокрушимая механическая кукла;2013;Япония;84;9;2;9; HDTVRip (720p); 3.79 ГБ; Русский (AAC, 2 ch, 192 Кбит/с), японский (AAC, 2 ch, 191 Кбит/с); MPEG-4 AVC, 2003 Кбит/с, 1280x720;0;0;Киндзи Есимото;Приключения, фэнтези, романтика
1132618;http://kinozal.tv/details.php?id=1132618;Романс валькирий;2013;Япония;96;8;1;8; HDTVRip (720p); 3.12 ГБ; Русский (AAC, 2 ch, 224 Кбит/с), японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, 2359 Кбит/с, 1280x720;0;0;Юсукэ Ямамото;Романтика, школа
1154511;http://kinozal.tv/details.php?id=1154511;Возлюбленные дьявола;2013;Япония;31;1;0;12; HDTVRip (720p); 2.61 ГБ; Русский, японский (AAC, 2 ch, 192 Кбит/с); MPEG-4 AVC, ~ 2199 Кбит/сек, 1280x720;0;0;Синобу Тагасира;Сёдзё
